"States","Yr","Quater","Type","District","total_insurance_count","total_insurance_amount","total_transaction_count","total_transaction_amount","total_registered_users","total_app_opens"
"arunachal-pradesh","2021","2",NULL,"tawang district",NULL,NULL,"70061","251025037.95363936","12636","830993"
"arunachal-pradesh","2021","2",NULL,"tirap district",NULL,NULL,"46320","144548683.3225929","7955","547430"
"arunachal-pradesh","2021","2",NULL,"upper siang district",NULL,NULL,"25971","89455180.0696969","4145","428792"
"arunachal-pradesh","2021","2",NULL,"upper subansiri district",NULL,NULL,"35856","131912938.7628825","7057","293916"
"arunachal-pradesh","2021","2",NULL,"west kameng district",NULL,NULL,"164866","482626617.86575466","22625","1490269"
"arunachal-pradesh","2021","2",NULL,"west siang district",NULL,NULL,"59341","180700138.79997098","11657","467127"
"arunachal-pradesh","2021","3",NULL,"anjaw district",NULL,NULL,"22621","69876730.14897071","3099","267726"
"arunachal-pradesh","2021","3",NULL,"changlang district",NULL,NULL,"120126","319705502.42197955","23328","1668215"
"arunachal-pradesh","2021","3",NULL,"dibang valley district",NULL,NULL,"2354","13284361.635290643","571","113574"
"arunachal-pradesh","2021","3",NULL,"east kameng district",NULL,NULL,"23739","102442240.26594694","4671","265900"
"arunachal-pradesh","2021","3",NULL,"east siang district",NULL,NULL,"128957","368061706.2429154","22538","1086775"
"arunachal-pradesh","2021","3",NULL,"kamle district",NULL,NULL,"6064","19140719.47908092","974","203013"
"arunachal-pradesh","2021","3",NULL,"kra daadi district",NULL,NULL,"8974","32167939.60284054","1475","179974"
"arunachal-pradesh","2021","3",NULL,"kurung kumey district",NULL,NULL,"7417","30935383.383134913","1509","292922"
"arunachal-pradesh","2021","3",NULL,"lepa rada district",NULL,NULL,"20756","72378628.44705966","3527","264771"
"arunachal-pradesh","2021","3",NULL,"lohit district",NULL,NULL,"117879","275160751.4034922","16680","1408514"
"arunachal-pradesh","2021","3",NULL,"longding district",NULL,NULL,"32638","100698520.96035638","4890","594284"
"arunachal-pradesh","2021","3",NULL,"lower dibang valley district",NULL,NULL,"50270","133788746.95473914","9920","581463"
"arunachal-pradesh","2021","3",NULL,"lower siang district",NULL,NULL,"19324","46101622.757140934","4229","347190"
"arunachal-pradesh","2021","3",NULL,"lower subansiri district",NULL,NULL,"46105","142674452.19705147","9451","558377"
"arunachal-pradesh","2021","3",NULL,"namsai district",NULL,NULL,"79292","177380632.18278244","12140","674435"
"arunachal-pradesh","2021","3",NULL,"pakke kessang district",NULL,NULL,"5061","12416386.841288097","770","213423"
"arunachal-pradesh","2021","3",NULL,"papum pare district",NULL,NULL,"710098","1995999756.3372893","97854","2308276"
"arunachal-pradesh","2021","3",NULL,"shi yomi district",NULL,NULL,"2559","17495021.72242897","473","181457"
"arunachal-pradesh","2021","3",NULL,"siang district",NULL,NULL,"17241","58453201.45572044","3396","433332"
"arunachal-pradesh","2021","3",NULL,"tawang district",NULL,NULL,"89052","365404078.3528414","13650","1355010"
"arunachal-pradesh","2021","3",NULL,"tirap district",NULL,NULL,"47118","143620525.85725695","8665","578706"
"arunachal-pradesh","2021","3",NULL,"upper siang district",NULL,NULL,"27960","114285857.14806488","4506","556857"
"arunachal-pradesh","2021","3",NULL,"upper subansiri district",NULL,NULL,"46434","191353412.42695975","7652","375423"
"arunachal-pradesh","2021","3",NULL,"west kameng district",NULL,NULL,"209165","658232385.7409549","24489","2155265"
"arunachal-pradesh","2021","3",NULL,"west siang district",NULL,NULL,"65763","217065611.3332364","12616","544772"
"arunachal-pradesh","2021","4",NULL,"anjaw district",NULL,NULL,"24083","77313027.11673045","3342","125753"
"arunachal-pradesh","2021","4",NULL,"changlang district",NULL,NULL,"147432","403255246.4023236","25155","829350"
"arunachal-pradesh","2021","4",NULL,"dibang valley district",NULL,NULL,"2711","14284034.399703257","621","18166"
"arunachal-pradesh","2021","4",NULL,"east kameng district",NULL,NULL,"27988","122366463.65672666","5027","153109"
"arunachal-pradesh","2021","4",NULL,"east siang district",NULL,NULL,"169617","450185173.037876","24208","897713"
"arunachal-pradesh","2021","4",NULL,"kamle district",NULL,NULL,"8517","31862943.48592616","1069","48042"
"arunachal-pradesh","2021","4",NULL,"kra daadi district",NULL,NULL,"10986","42553945.301929176","1593","63448"
"arunachal-pradesh","2021","4",NULL,"kurung kumey district",NULL,NULL,"8467","36028643.15543166","1633","54213"
"arunachal-pradesh","2021","4",NULL,"lepa rada district",NULL,NULL,"28633","101798549.88186258","3810","168938"
"arunachal-pradesh","2021","4",NULL,"lohit district",NULL,NULL,"142772","328942905.2553121","17980","728676"
"arunachal-pradesh","2021","4",NULL,"longding district",NULL,NULL,"37096","125754642.94209707","5345","215529"
"arunachal-pradesh","2021","4",NULL,"lower dibang valley district",NULL,NULL,"65302","174980099.83925235","10679","341060"
"arunachal-pradesh","2021","4",NULL,"lower siang district",NULL,NULL,"25424","69995156.90875632","4550","156209"
"arunachal-pradesh","2021","4",NULL,"lower subansiri district",NULL,NULL,"60146","199366119.13556093","10187","348485"
"arunachal-pradesh","2021","4",NULL,"namsai district",NULL,NULL,"105194","220513367.66283622","13092","538118"
"arunachal-pradesh","2021","4",NULL,"pakke kessang district",NULL,NULL,"6343","15848508.20917535","835","35976"
"arunachal-pradesh","2021","4",NULL,"papum pare district",NULL,NULL,"919925","2435796597.1781564","104806","3554385"
"arunachal-pradesh","2021","4",NULL,"shi yomi district",NULL,NULL,"3066","19610548.431270048","498","15201"
"arunachal-pradesh","2021","4",NULL,"siang district",NULL,NULL,"22785","72065716.16878249","3675","121770"
"arunachal-pradesh","2021","4",NULL,"tawang district",NULL,NULL,"99575","412396002.3197621","14665","506240"
"arunachal-pradesh","2021","4",NULL,"tirap district",NULL,NULL,"52675","172835892.68512428","9331","311867"
"arunachal-pradesh","2021","4",NULL,"upper siang district",NULL,NULL,"41167","155266317.84142125","4850","208167"
"arunachal-pradesh","2021","4",NULL,"upper subansiri district",NULL,NULL,"54298","226652835.3581027","8201","240330"
"arunachal-pradesh","2021","4",NULL,"west kameng district",NULL,NULL,"247346","765859269.2953706","26237","1160379"
"arunachal-pradesh","2021","4",NULL,"west siang district",NULL,NULL,"79050","267978346.9418527","13555","389171"
"west-bengal","2021","4",NULL,"kolkata district",NULL,NULL,"65708533","131156784692.10446","2213659","56212627"
"west-bengal","2021","4",NULL,"koch bihar district",NULL,NULL,"3183823","6820617550.450257","430468","11678868"
"west-bengal","2021","4",NULL,"kalimpong district",NULL,NULL,"258216","654843267.2530651","43545","1088538"
"west-bengal","2021","4",NULL,"jhargram district",NULL,NULL,"1008297","1845872331.5088463","143344","3651690"
"west-bengal","2021","4",NULL,"jalpaiguri district",NULL,NULL,"2342634","5224962233.676089","301033","8625183"
"west-bengal","2021","4",NULL,"howrah district",NULL,NULL,"20261475","36416694059.9693","1150144","27801657"
"west-bengal","2021","4",NULL,"hooghly district",NULL,NULL,"9342381","18914851063.97778","1278850","30173908"
"west-bengal","2021","4",NULL,"darjiling district",NULL,NULL,"5168108","11681810187.018759","457833","11515790"
"west-bengal","2021","4",NULL,"dakshin dinajpur district",NULL,NULL,"1638791","3473769418.4108477","326436","5709265"
"west-bengal","2021","4",NULL,"birbhum district",NULL,NULL,"4352535","8961590629.524475","689824","15475854"
"west-bengal","2021","4",NULL,"bankura district",NULL,NULL,"4383302","7411233892.35178","743262","15470528"
"west-bengal","2021","4",NULL,"alipurduar district",NULL,NULL,"1679994","3837703804.434596","209348","5997603"
"west-bengal","2021","3",NULL,"uttar dinajpur district",NULL,NULL,"2833025","7139308290.0050125","425320","10453927"
"west-bengal","2021","3",NULL,"south twenty four parganas district",NULL,NULL,"8148035","17003261364.446451","1383020","23765288"
"west-bengal","2021","3",NULL,"purulia district",NULL,NULL,"2421483","3554644332.9978147","469472","11407463"
