"States","Yr","Quater","Type","District","total_insurance_count","total_insurance_amount","total_transaction_count","total_transaction_amount","total_registered_users","total_app_opens"
"nagaland","2020","4","TOTAL","phek district","62","38836","28612","75169716.47521709","6888","116654"
"nagaland","2020","4","TOTAL","mon district","62","38836","51806","149055802.79705113","14932","210817"
"nagaland","2020","4","TOTAL","longleng district","62","38836","13202","34760738.476595946","3091","53696"
"nagaland","2020","4","TOTAL","zunheboto district","62","38836","23475","60794471.32764541","5541","88612"
"nagaland","2020","4","TOTAL","dimapur district","62","38836","422501","1549414048.2654047","87807","1378850"
"nagaland","2020","4","TOTAL","wokha district","62","38836","33080","77215466.14300685","8821","139716"
"arunachal pradesh","2020","2","TOTAL",NULL,"65","14329",NULL,NULL,NULL,NULL
"sikkim","2020","4","TOTAL","north district","67","70214","80801","251186246.6496318","12501","290250"
"sikkim","2020","4","TOTAL","south district","67","70214","130339","292804584.22659683","31055","487764"
"sikkim","2020","4","TOTAL","west district","67","70214","95163","245657098.12953633","19217","307094"
"sikkim","2020","4","TOTAL","east district","67","70214","428732","1129627876.1171591","85770","1393562"
"mizoram","2020","3","TOTAL","champhai district","74","24691","11286","35131298.73356742","3883","43126"
"mizoram","2020","3","TOTAL","lawngtlai district","74","24691","25540","62210090.16784428","6412","113452"
"mizoram","2020","3","TOTAL","aizawl district","74","24691","136460","413175918.97011656","36225","447023"
"mizoram","2020","3","TOTAL","lunglei district","74","24691","30971","83270436.83501583","8442","125325"
"mizoram","2020","3","TOTAL","serchhip district","74","24691","10351","25197852.93925553","2871","42356"
"mizoram","2020","3","TOTAL","saiha district","74","24691","7107","24796870.137284856","1962","27496"
