"States","Yr","Quater","Type","District","total_insurance_count","total_insurance_amount","total_transaction_count","total_transaction_amount","total_registered_users","total_app_opens"
"himachal-pradesh","2022","1",NULL,"kinnaur district",NULL,NULL,"148405","295606863.3095263","28269","2131771"
"madhya-pradesh","2022","2",NULL,"dhar district",NULL,NULL,"11567048","18840900182.771637","586670","68292994"
"madhya-pradesh","2022","2",NULL,"dewas district",NULL,NULL,"9969749","16816037627.773096","501534","54677620"
"madhya-pradesh","2022","2",NULL,"datia district",NULL,NULL,"1907668","4062114579.7836947","150774","15523129"
"madhya-pradesh","2022","2",NULL,"damoh district",NULL,NULL,"2386399","4971009992.101388","212717","28176780"
"madhya-pradesh","2022","2",NULL,"chhindwara district",NULL,NULL,"8962440","14596356954.002365","557958","74250829"
"madhya-pradesh","2022","2",NULL,"chhatarpur district",NULL,NULL,"4407881","8534109728.323781","361336","37291459"
"madhya-pradesh","2022","2",NULL,"burhanpur district",NULL,NULL,"2800782","4755072699.682998","161559","19056842"
"madhya-pradesh","2022","2",NULL,"bhopal district",NULL,NULL,"185588829","255910395858.5839","1820625","31358426"
"madhya-pradesh","2022","2",NULL,"bhind district",NULL,NULL,"3840035","8235562332.788057","345153","26268517"
"madhya-pradesh","2022","2",NULL,"betul district",NULL,NULL,"6083125","9738809872.39219","399176","58096392"
"madhya-pradesh","2022","2",NULL,"barwani district",NULL,NULL,"3403189","6470195552.722945","194224","39803106"
"madhya-pradesh","2022","2",NULL,"balaghat district",NULL,NULL,"6274811","12164206967.630133","391383","45171692"
"madhya-pradesh","2022","2",NULL,"ashoknagar district",NULL,NULL,"2397073","4430089668.437273","156794","26980521"
"madhya-pradesh","2022","2",NULL,"anuppur district",NULL,NULL,"2527025","4038924201.302706","159037","21223816"
"madhya-pradesh","2022","2",NULL,"alirajpur district",NULL,NULL,"741722","1643004173.6811128","65571","15300969"
"madhya-pradesh","2022","2",NULL,"agar malwa district",NULL,NULL,"2583387","5033650547.856413","132817","24914518"
"madhya-pradesh","2022","1",NULL,"vidisha district",NULL,NULL,"5048959","8192898968.5959835","367348","46490241"
"madhya-pradesh","2022","1",NULL,"umaria district",NULL,NULL,"1518582","2646527299.4278584","103376","18472993"
"madhya-pradesh","2022","1",NULL,"ujjain district",NULL,NULL,"11174270","19317822240.98006","680599","45055866"
"madhya-pradesh","2022","1",NULL,"tikamgarh district",NULL,NULL,"2146517","3313722889.524501","164789","19731880"
"madhya-pradesh","2022","1",NULL,"singrauli district",NULL,NULL,"5324750","9581158761.949295","295276","40994249"
"madhya-pradesh","2022","1",NULL,"sidhi district",NULL,NULL,"2630276","5497384684.101099","185333","24215691"
"madhya-pradesh","2022","1",NULL,"shivpuri district",NULL,NULL,"4407500","8135033650.721508","299591","47644691"
"madhya-pradesh","2022","1",NULL,"sheopur district",NULL,NULL,"1111291","2392801590.284674","100534","15536400"
"madhya-pradesh","2022","1",NULL,"shajapur district",NULL,NULL,"4089624","7133632284.901957","253170","28919127"
"madhya-pradesh","2022","1",NULL,"shahdol district",NULL,NULL,"3800096","6515900645.231527","220235","28376385"
"madhya-pradesh","2022","1",NULL,"seoni district",NULL,NULL,"4010669","7776610030.837168","271212","49526971"
"madhya-pradesh","2022","1",NULL,"sehore district",NULL,NULL,"7782311","12240349684.93433","430004","49205647"
"madhya-pradesh","2022","1",NULL,"satna district",NULL,NULL,"5959975","11201065191.232088","488378","33592833"
"madhya-pradesh","2022","1",NULL,"sagar district",NULL,NULL,"7000254","11999611899.066282","573791","48260052"
"madhya-pradesh","2022","1",NULL,"rewa district",NULL,NULL,"6925395","13988188476.3059","533627","33192405"
"madhya-pradesh","2022","1",NULL,"ratlam district",NULL,NULL,"5644515","10989756673.039474","413474","36019214"
"madhya-pradesh","2022","1",NULL,"rajgarh district",NULL,NULL,"6852793","11950279299.224901","367926","62421064"
"madhya-pradesh","2022","1",NULL,"raisen district",NULL,NULL,"5782830","8576398167.66678","362669","49467462"
"madhya-pradesh","2022","1",NULL,"panna district",NULL,NULL,"1607145","3276953685.5023165","134571","23797099"
"madhya-pradesh","2022","1",NULL,"niwari district",NULL,NULL,"698302","1312980782.8749974","64887","6027694"
"madhya-pradesh","2022","1",NULL,"neemuch district",NULL,NULL,"3135245","6045853448.036171","239780","21877459"
"madhya-pradesh","2022","1",NULL,"narsinghpur district",NULL,NULL,"3450508","6660032550.532135","282944","25561900"
"madhya-pradesh","2022","1",NULL,"morena district",NULL,NULL,"4279893","9415969484.468203","388876","21768637"
"madhya-pradesh","2022","1",NULL,"mandsaur district",NULL,NULL,"5084917","9758545857.562168","377419","36819711"
"madhya-pradesh","2022","1",NULL,"mandla district",NULL,NULL,"1993473","3886984726.3384914","166586","27363618"
"madhya-pradesh","2022","1",NULL,"khargone district",NULL,NULL,"5882191","11164906516.662949","376319","48347724"
"madhya-pradesh","2022","1",NULL,"katni district",NULL,NULL,"3425402","6115245027.187626","260231","20065734"
"madhya-pradesh","2022","1",NULL,"jhabua district",NULL,NULL,"1628225","3430325105.6724696","132178","21880765"
"madhya-pradesh","2022","1",NULL,"jabalpur district",NULL,NULL,"14198131","23727705882.803474","844191","24394123"
"madhya-pradesh","2022","1",NULL,"indore district",NULL,NULL,"82698834","117708333766.98831","2291709","46090777"
"madhya-pradesh","2022","1",NULL,"hoshangabad district",NULL,NULL,"4978689","8166487653.562494","366938","29354309"
"madhya-pradesh","2022","1",NULL,"harda district",NULL,NULL,"1854570","3394808512.728143","132707","15830168"
"madhya-pradesh","2022","1",NULL,"gwalior district",NULL,NULL,"15549106","27692015434.858017","919789","21816530"
"madhya-pradesh","2022","1",NULL,"guna district",NULL,NULL,"5024607","8067958826.922112","343862","38333265"
"madhya-pradesh","2022","1",NULL,"east nimar district",NULL,NULL,"4170972","6851582451.891875","264991","37995487"
"madhya-pradesh","2022","1",NULL,"dindori district",NULL,NULL,"1108997","2178200710.7588882","89318","22224905"
"madhya-pradesh","2022","1",NULL,"dhar district",NULL,NULL,"10117283","16593117838.03894","554545","57969630"
"madhya-pradesh","2022","1",NULL,"dewas district",NULL,NULL,"8873232","14573666819.387133","474588","48508371"
"madhya-pradesh","2022","1",NULL,"datia district",NULL,NULL,"1623377","3314862682.4707184","142528","13244758"
"madhya-pradesh","2022","1",NULL,"damoh district",NULL,NULL,"2115948","4151432646.449275","201320","24840452"
"madhya-pradesh","2022","1",NULL,"chhindwara district",NULL,NULL,"7709009","12667985167.901293","528140","65934049"
"madhya-pradesh","2022","1",NULL,"chhatarpur district",NULL,NULL,"3738480","6802122995.65275","341257","32165896"
