"States","Yr","Quater","Type","District","total_insurance_count","total_insurance_amount","total_transaction_count","total_transaction_amount","total_registered_users","total_app_opens"
"uttar-pradesh","2022","2",NULL,"basti district",NULL,NULL,"4146531","10289841176.306242","391480","8659484"
"uttar-pradesh","2022","2",NULL,"bhadohi district",NULL,NULL,"2426943","4506565654.638406","276471","1850729"
"uttar-pradesh","2022","2",NULL,"bijnor district",NULL,NULL,"5492543","11857766331.75903","534931","19006763"
"uttar-pradesh","2022","2",NULL,"budaun district",NULL,NULL,"2982982","6520713662.226437","329179","17746487"
"uttar-pradesh","2022","2",NULL,"bulandshahr district",NULL,NULL,"8672759","15593948761.499466","648058","14215519"
"uttar-pradesh","2022","2",NULL,"chandauli district",NULL,NULL,"3410297","7520303034.593016","363366","6537683"
"uttar-pradesh","2022","2",NULL,"chitrakoot district",NULL,NULL,"1056035","2514275915.4166965","110760","14874398"
"uttar-pradesh","2022","2",NULL,"deoria district",NULL,NULL,"6790437","14075614382.526625","597729","6041211"
"uttar-pradesh","2022","2",NULL,"etah district",NULL,NULL,"2712623","5409363032.198554","262230","9589352"
"uttar-pradesh","2022","2",NULL,"etawah district",NULL,NULL,"3531921","6679810773.089186","303513","11278786"
"uttar-pradesh","2022","1",NULL,"agra district",NULL,NULL,"14010919","26233858697.697464","1279852","18048877"
